1982,9.90
1983,10.10
1984,9.80
1985,9.90
1986,9.80
1987,9.40
1988,9.30
1989,9.30
1990,9.20
1991,9.10
1992,9
1993,9.20
1994,8.90
1995,9.10
1996,9.10
1997,9
1998,9.10
1999,9.10
2000,8.90
2001,8.80
2002,8.90
2003,9.10
2004,8.30
2005,8.50
2006,8.30
2007,8.30
2008,8.50
2009,8.50
2010,8.50
2011,8.40
2012,8.70
2013,8.70
2014,8.40
2015,8.90
2016,8.90
2017,9.10
2018,9.10
2019,9.10
2020*,9.90
2021*,9.80
2022*,9.80
